Key,en,es,cat
Achievements_tellAFriendTitle,Tell a friend!,¡Díselo a un amigo!,Digues-li a un amic!
Achievements_tellAFriendDescription,Share the app with a friend through the lateral menu to get this achievement.,Comparte la app con un amigo mediante el menú lateral para obtener este logro.,Comparteix l'app amb un amic a través del menu lateral per a obtenir aquest assoliment.
Achievements_firstRouteTitle,Here we go!,¡Allá vamos!,Som-hi!
Achievements_firstRouteDescription,Select a station on the map and choose 'Get There' to get this achievement.,Selecciona una estación en el mapa y clica en '¡Llévame!' para obtener este logro.,Selecciona una estació i clica 'Porta-m'hi!' per a obtenir aquest assoliment.
Achievements_fiveRoutesTitle,Here we go!,¡Allá vamos!,Som-hi!
Achievements_fiveRoutesDescription,Plan five routes with the application map to get this achievement.,Planea cinco rutas con el mapa de la aplicación para obtener este logro.,Planeja cinc rutes amb el mapa de l'aplicació per a obtenir aquest assoliment.
Achievements_twentyRoutesTitle,Here we go!,¡Allá vamos!,Som-hi!
Achievements_twentyRoutesDescription,Plan twenty routes with the application map to get this achievement.,Planea veinte rutas con el mapa de la aplicación para obtener este logro.,Planeja vint rutes amb el mapa de l'aplicació per a obtenir aquest assoliment.
Achievements_firstSearchTitle,Where to?,¿Dónde vamos?,On anem?
Achievements_firstSearchDescription,Search for a station through the top search bar in the map to get this achievement.,Busca una estación con la barra de búsqueda del mapa para obtener este logro.,Cerca una estació amb la barra de cerca del mapa per a obtenir aquest assoliment.
Achievements_fiveSearchesTitle,Where to?,¿Dónde vamos?,On anem?
Achievements_fiveSearchesDescription,Search for five stations through the top search bar in the map to get this achievement.,Busca cinco estaciones con la barra de búsqueda del mapa para obtener este logro.,Cerca cinc estacions amb la barra de cerca del mapa per a obtenir aquest assoliment.
Achievements_twentySearchesTitle,Where to?,¿Dónde vamos?,On anem?
Achievements_twentySearchesDescription,Search for twenty stations through the top search bar in the map to get this achievement.,Busca veinte estaciones con la barra de búsqueda del mapa para obtener este logro.,Cerca vint estacions amb la barra de cerca del mapa per a obtenir aquest assoliment.
Achievements_shareAStationTitle,Meet you there!,¡Nos vemos allí!,Ens veiem allà!
Achievements_shareAStationDescription,Share a station with a friend by selecting it to get this achievement.,Comparte una estación con un amigo tras seleccionarla para obtener este logro.,Comparteix una estació amb un amic seleccionant-la per a obtenir aquest assoliment.
Achievements_shareFiveStationsTitle,Meet you there!,¡Nos vemos allí!,Ens veiem allà!
Achievements_shareFiveStationsDescription,Share five stations with a friend by selecting them to get this achievement.,Comparte cinco estaciones con un amigo tras seleccionarlas para obtener este logro.,Comparteix cinc estacions amb un amic seleccionant-les per a obtenir aquest assoliment.
Achievements_shareTenStationsTitle,Meet you there!,¡Nos vemos allí!,Ens veiem allà!
Achievements_shareTenStationsDescription,Share ten stations with a friend by selecting them to get this achievement.,Comparte diez estaciones con un amigo tras seleccionarlas para obtener este logro.,Comparteix deu estacions amb un amic seleccionant-les per a obtenir aquest assoliment.
Achievements_setStationAsFavouriteTitle,I choose you!,¡Te escojo a tí!,T'escullo a tu!
Achievements_setStationAsFavouriteDescription,Set a station as favourite by selecting it to get this achievement.,Selecciona una estación como favorita tras seleccionarla para obtener este logro.,Selecciona una estació com a preferida seleccionant-la per a obtenir aquest assoliment.
Achievements_setThreeStationsAsFavouriteTitle,I choose you!,¡Te escojo a tí!,T'escullo a tu!
Achievements_setThreeStationsAsFavouriteDescription,Set three stations as favourite by selecting them to get this achievement.,Selecciona tres estaciones como favoritas tras seleccionarlas para obtener este logro.,Selecciona tres estacions com a preferides seleccionant-les per a obtenir aquest assoliment.
Achievements_likeAStationTitle,"I like you, have a cupcake.","Me gustas, toma una galleta.","M'agrades. Té, una galeta."
Achievements_likeAStationDescription,Like a station by selecting it to get this achievement.,Dale me gusta a una estación tras seleccionarla para obtener este logro.,Dona-li m'agrada a una estació seleccionant-la per a obtenir aquest assoliment.
Achievements_likeFiveStationsTitle,"I like you, have a cupcake.","Me gustas, toma una galleta.","M'agrades. Té, una galeta."
Achievements_likeFiveStationsDescription,Like five stations by selecting them to get this achievement.,Dale me gusta a cinco estaciones tras seleccionarlas para obtener este logro.,Dona-li m'agrada a cinc estacions seleccionant-les per a obtenir aquest assoliment.
Achievements_likeTwentyStationsTitle,"I like you, have a cupcake.","Me gustas, toma una galleta.","M'agrades. Té, una galeta."
Achievements_likeTwentyStationsDescription,Like twenty stations by selecting them to get this achievement.,Dale me gusta a veinte estaciones tras seleccionarlas para obtener este logro.,Dona-li m'agrada a vint estacions seleccionant-les per a obtenir aquest assoliment.
,,,
PAGE_report,,,
ReportApplicationScreen_fillfields,Please fill in all fields,Porfavor rellena todos los campos,Si us plau emplena tots els camps
ReportApplicationScreen_OSversion,Operating System,Sistema Operativo,Sistema Operatiu
ReportApplicationScreen_subjectinquiry,Subject of Inquiry,Tema de consulta,Tema de consulta
ReportApplicationScreen_detailsinquiry,Details of Inquiry,Detalles de la consulta,Detalls de la consulta
ReportApplicationScreen_title,Report Screen,Pagina de Reporte,Pantalla d'Incidències
ReportApplicationScreen_mobilepl,Device type,Tipo de dispositivo,Tipus de dispositiu
ReportApplicationScreen_type,Type of Report ,Tipo de Reporte,Tipus de Incidència
ReportApplicationScreen_smartphone,Smartphone,Smartphone,Smartphone
ReportApplicationScreen_tablet,Tablet,Tablet,Tauleta
ReportApplicationScreen_ios,iOS,iOS,iOS
ReportApplicationScreen_android,Android,Android,Android
ReportApplicationScreen_bug,Bug,Bug,Bug
ReportApplicationScreen_generalHelp,General help,Ayuda general,Ajuda general
ReportApplicationScreen_featureRequest,Feature request,Solicitud de funcionalidad,Sol·licitud de funcionalitat
ReportApplicationScreen_feedback,Feedback,Comentario,Comentari
send,Send,Enviar,Enviar
reportStation_title,Report a Station,Reportar una estación,Reportar una estació
reportStation_subtitle,,,
reportStation_placeholder,Issue description,Descripción del problema,Descripció del problema
reportStation_poorCondition,Poor conditions,Malas condiciones,Males condicions
reportStation_badInformation,Incorrect Info,Información erronea,Informació errònia
reportStaiton_dislike,Dislike,No me gusta,No m'agrada
,,,
PAGE_achievementToast,,,
title,Achievement completed!,¡Logro completado!,Assoliment completat!
PAGE_reportToast,,,
title,Report sent,Reporte enviado,Incidència enviada
message,Your report was sent successfully.,Tu reporte ha sido correctamente enviado.,S'ha enviat correctament l'incidència.
titleError,Report not sent,Reporte no enviado,Incidència no enviada
messageError,Your have already sent a report on this station.,Ya has enviado un reporte a esta estación.,Ja has enviat una incidència a aquesta estació.
PAGE_faq,,,
generalHelp,General help,Ayuda general,Ajuda general
accountHelp,Account help,Ayuda de cuenta,Ajuda del compte
whatIsEcoroads,What is EcoRoads?,¿Qué es EcoRoads?,Que és EcoRoads?
answerWhatIsEcoroads,"EcoRoads is personal mobility application, which puts at your disposal information and services to ease your electric vehicle traveling.","EcoRoads es una aplicación de movilidad personal, que pone a tu disposición información y servicios para facilitar tus viajes usando vehículos eléctricos.","EcoRoads és una aplicació de mobilitat personal, que posa a la teva disposició informació i serveis per facilitar els teus viatges amb vehicles elèctrics."
moreServicesEcoroads,Will there be more services within EcoRoads?,¿Habrá más servicios dentro de EcoRoads?,Hi hauran més serveis dins d'EcoRoads?
answerMoreServicesEcoroads,"Yes, EcoRoads is an application under constant growth, always focused on delivering the best possible service.","Sí, EcoRoads es una aplicación que estará en constante crecimiento, con el fin de poder ofrecer en todo momento el mejor servicio posible.","Sí, EcoRoads és una aplicació que estarà en constant creixement, amb la finalitat de poder oferir en tot moment el millor servei possible."
isThereCost,Is there any payment within EcoRoads?,¿Tiene algun coste utilizar EcoRoads?,Té algun cost utilitzar EcoRoads?
answerIsThereCost,The download and use of the application is completely free of charge.,La descarga y el uso de la aplicación és completamente gratuito.,La descàrrega i ús de l'aplicació és completament gratuït.
personalizeMap,Can I customize the map?,¿Puedo personalizar el mapa?,Puc personalitzar el mapa?
answerPersonalizeMap,"Yes, you can easily filter on the map the information of the charging points you want at any time. You can also add stations to your favorites section and filter the map based on them.","Sí, puedes filtrar fácilmente en el mapa la información de los puntos de carga que quieras en todo momento. Además puedes añadir estaciones a tu sección de favoritos y filtrar el mapa en base a estos.","Sí, pots filtrar fàcilment al mapa la informació dels punts de càrrega que vulguis en tot moment. A més pots afegir estacions a la teva secció de favorits i filtrar el mapa sobre la base d'aquests."
technicalIncidence,What do I do if I have a technical issue?,¿Qué hago si tengo una incidencia técnica?,Què faig si tinc una incidència tècnica?
answer1TechnicalIncidence,"If it is a technical issue related to a charging point, you can access the additional information mode of that station to report directly the problem you are experiencing.","Si se trata de una incidencia técnica relacionada con algún punto de carga, puedes acceder al modal de información adicional de esa estación para reportar directamente el problema que tengas.","Si es tracta d'una incidència tècnica relacionada amb algun punt de càrrega, podeu accedir al modal d'informació addicional d'aquesta estació per reportar directament el problema que tingueu."
answer2TechnicalIncidence,"If it is a technical issue of the application itself, you can access the reports section of the application, located in the side navigation bar, to report the information you see fit.","Si se trata de una incidencia técnica de la propia aplicación, puedes acceder a la sección de reportes de la aplicación, situada en la barra de navegación lateral, para reportar la información que veas conveniente.","Si es tracta d'una incidència tècnica de la pròpia aplicació, podeu accedir a la secció de reports de l'aplicació, situada a la barra de navegació lateral, per reportar la informació que veieu convenient."
mandatorySignIn,Do I need to register to use EcoRoads?,¿Es necesario registrarse para utilizar EcoRoads?,És necessari registrar-se per utilitzar EcoRoads?
answerMandatorySignIn,"Without a user account you will not be able to access EcoRoads functionalities, therefore it is essential that you register.","Sin una cuenta de usuario no podrás acceder a las funcionalidades de EcoRoads, por lo tanto es imprescindible que te registres.","Sense un compte d'usuari no podràs accedir a les funcionalitats d'EcoRoads, per tant, és imprescindible que et registris."
safeData,Is my personal data secure in the system?,¿Están seguros mis datos personales en el sistema?,Estan segures les meves dades personals al sistema?
answerSafeData,"Yes, all information is encrypted and meets the highest security standards.","Sí, toda la información está encriptada y cumple con los estándares de seguridad más exigentes.","Sí, tota la informació està encriptada i compleix els estàndards de seguretat més exigents."
howToDelete,How do I delete my EcoRoads account?,¿Cómo doy de baja mi cuenta en EcoRoads?,Com dono de baixa el meu compte a EcoRoads?
answerHowToDelete,"You can do this from the app, in the settings section in the profile. By clicking on the 'Delete Account' button, all your information will be removed from the EcoRoads database.","Lo puedes hacer desde la app, en la sección de configuración en el perfil. Pulsando en el botón de 'Eliminar Cuenta', toda tu información se eliminará de la base de datos de EcoRoads.","Ho pots fer des de l'app, a la secció de configuració al perfil. Fent clic al botó d''Eliminar Compte', tota la teva informació s'eliminarà de la base de dades d'EcoRoads."
,,,
PAGE_onboarding,,,
title1,Welcome to Ecoroads,Bienvenido a Ecoroads,Benvingut a Ecoroads
subtitle1,The app to plan your Eco-Friendly trips efficiently,La aplicación para planear tus viajes 'Eco-Friendly' de forma eficiente,L'aplicació per a planejar els teus viatges 'Eco-Friendly' de forma eficient
title2,Customize your profile,Personaliza tu perfil,Personalitza el teu perfil
subtitle2,Add your vehicles and change their color to your liking,Añade tus vehículos y cambia su color a tu parecer,Afegeix els teus vehicles i canvia el seu color al teu parer
title3,Create easy-to-follow routes,Crea rutas fáciles de seguir,Crea rutes fàcils de seguir
subtitle3,And get redirected if your EV's battery is too low,Descubre rutas que se ajustan a tu autonomía,Descobreix rutes que s'ajusten a la teva autonomía
title4,Check the availability,Consulta la disponibilidad,Consulta la disponibilitat
subtitle4,Know the status of any station in real time,Conoce el estado de cualquier estación en tiempo real,Coneix l'estat de qualsevol estació en temps real
title5,Obtain achievements,Obtén logros,Obté assoliments
subtitle5,And share them with your friends to brag about it,Y compartelos con tus amigos para fardar de ello,I comparteix-los amb els teus amics per a fardar-ne
skip,Skip,Saltar,Saltar
next,Next,Siguiente,Següent
done,Done,Finalizar,Finalitzar
PAGE_warningToast,,,
title,Beware of pollution,Cuidado con la contaminación,Compte amb la contaminació
message,This destination has a pollution of,Este destino tiene una contaminación de,Aquest destí té una contaminació de
,,,
PAGE_help,,,
chat,Chat,Chat,Xat
faq,FAQs,FAQs,FAQs
title,Help section,Sección de ayuda,Secció d'ajuda
tutorial,Tutorial,Tutorial,Tutorial
,,,
PAGE_autonomyModal,,,
title,Do you want to introduce your vehicle's autonomy?,¿Quieres introducir la autonomía de tu vehículo?,Vols introduïr l'autonomia del teu vehicle?
placeholder,Your autonomy in km,Tu autonomía en km,La teva autonomia en km
,,,
PAGE_editProfile,,,
title,Profile updated,Perfil actualizado,Perfil actualitzat
message,The changes have been saved correctly,Los cambios se han guardado correctamente,Els canvis s'han actualitzat correctament
